nct_id,drug_name,is_combination,n_drugs_in_trial
NCT05553041,Positron Emission Tomography and Magnetic Resonance Imaging,True,3
NCT05553041,Magnetic Resonance Imaging,True,3
NCT06041425,Oxycodone,True,3
NCT06041425,Transarterial Chemoembolization,True,3
NCT06041425,Sufentanil,True,3
NCT05770531,Biospecimen Collection,True,4
NCT05770531,Computed Tomography,True,4
NCT05770531,Magnetic Resonance Imaging,True,4
NCT05770531,Sacituzumab govitecan,True,4
NCT06007846,memantine hydrochloride,False,1
NCT05954312,VVD-130037,False,1
NCT05777278,Savolitinib,True,2
NCT05777278,Docetaxel,True,2
NCT05850234,GC 012F,False,1
NCT05687110,Biopsy,True,4
NCT05687110,Biospecimen Collection,True,4
NCT05687110,Diagnostic Imaging,True,4
NCT05687110,novobiocin sodium,True,4
NCT05961696,Mosunetuzumab,False,1
NCT05751265,Tislelizumab,True,3
NCT05751265,Fluorouracil,True,3
NCT05751265,Paclitaxel,True,3
NCT05443425,Colestyramine,True,3
NCT05443425,Leflunomide,True,3
NCT05443425,Steroid Therapy,True,3
NCT05812807,Pembrolizumab,True,5
NCT05812807,Patient Observation,True,5
NCT05812807,Biopsy,True,5
NCT05812807,Biospecimen Collection,True,5
NCT05812807,Questionnaire Administration,True,5
NCT05926960,Encorafenib,True,5
NCT05926960,Binimetinib,True,5
NCT05926960,Pembrolizumab,True,5
NCT05926960,Ipilimumab,True,5
NCT05926960,Nivolumab,True,5
NCT05443464,OSSM 001,False,1
NCT05894837,Serplulimab,True,3
NCT05894837,Regorafenib,True,3
NCT05894837,Intrahepatic Infusion Procedure,True,3
NCT05400902,Oxaliplatin,True,5
NCT05400902,Folinic acid,True,5
NCT05400902,Fluorouracil,True,5
NCT05400902,Sintilimab,True,5
NCT05400902,Bevacizumab,True,5
NCT05885464,BEAM 201,False,1
NCT05976997,Duvelisib,True,2
NCT05976997,Chidamide,True,2
NCT05716516,Estradiol,False,1
NCT05139056,Neural Stem Cells-expressing CRAd-S-pk7,True,2
NCT05139056,Resection,True,2
NCT05848999,UCLM-802,False,1
NCT05843448,IO102 IO103,True,2
NCT05843448,Pembrolizumab,True,2
NCT05701709,SHR A2102,False,1
NCT05371054,Venetoclax,True,3
NCT05371054,Enitociclib,True,3
NCT05371054,Prednisone,True,3
NCT05754801,Coriolus Versicolor Extract,True,2
NCT05754801,Placebo Control,True,2
NCT05744921,Pozelimab,True,2
NCT05744921,Cemdisiran,True,2
NCT05661591,SHR-2554,True,2
NCT05661591,Fluconazole,True,2
NCT05715398,BR 790,True,2
NCT05715398,Catequentinib,True,2
NCT05675813,Cyclophosphamide,True,9
NCT05675813,Doxorubicin,True,9
NCT05675813,Vincristine,True,9
NCT05675813,Prednisone,True,9
NCT05675813,Azacitidine,True,9
NCT05675813,Selinexor,True,9
NCT05675813,Duvelisib,True,9
NCT05675813,Tislelizumab,True,9
NCT05675813,Chidamide,True,9
NCT05716113,RD 13,False,1
NCT05784870,Traditional Chinese Medicine Formulation,True,2
NCT05784870,Ferrous succinate,True,2
NCT05722795,Imatinib,False,1
NCT05870995,Cladribine,True,8
NCT05870995,Cytarabine,True,8
NCT05870995,Etoposide,True,8
NCT05870995,Venetoclax,True,8
NCT05870995,Fludarabine,True,8
NCT05870995,Busulfan,True,8
NCT05870995,Melphalan,True,8
NCT05870995,Total Marrow Irradiation,True,8
NCT05679258,Daratumumab,False,1
NCT05603559,Lutetium Lu 177 Vipivotide Tetraxetan,True,2
NCT05603559,Lutetium Lu-177 PNT2002,True,2
NCT05608785,Fidasimtamab,True,6
NCT05608785,Oxaliplatin,True,6
NCT05608785,Capecitabine,True,6
NCT05608785,Osemitamab,True,6
NCT05608785,Benmelstobart,True,6
NCT05608785,Catequentinib,True,6
NCT05668767,Surufatinib,True,5
NCT05668767,Durvalumab,True,5
NCT05668767,Etoposide,True,5
NCT05668767,Cisplatin,True,5
NCT05668767,Carboplatin,True,5
NCT05669807,Camrelizumab,True,3
NCT05669807,Nab-paclitaxel,True,3
NCT05669807,Irinotecan,True,3
NCT05990998,Gallium 68-DOTATATE,True,3
NCT05990998,68Ga-FAPI-46,True,3
NCT05990998,Positron Emission Tomography and Computed Tomography Scan,True,3
NCT06350838,BCG Regimen,False,1
NCT05198843,Dasatinib,True,2
NCT05198843,Icosapent Ethyl,True,2
NCT05208762,PF-08046054,True,2
NCT05208762,Pembrolizumab,True,2
NCT05425862,Pidnarulex,True,2
NCT05425862,Talazoparib,True,2
NCT04892277,Autologous Anti-CD19 CAR-expressing T-lymphocytes IC19/1563,True,10
NCT04892277,Bendamustine,True,10
NCT04892277,Biospecimen Collection,True,10
NCT04892277,Bone Marrow Aspiration,True,10
NCT04892277,Bone Marrow Biopsy,True,10
NCT04892277,Computed Tomography,True,10
NCT04892277,Cyclophosphamide,True,10
NCT04892277,Fludarabine,True,10
NCT04892277,Magnetic Resonance Imaging,True,10
NCT04892277,Positron Emission Tomography,True,10
NCT05521412,[161 Tb]Tb PSMA I&T,False,1
NCT05489731,TAS 119,True,2
NCT05489731,osimertinib mesylate,True,2
NCT05285358,Cisplatin,True,4
NCT05285358,Gemcitabine,True,4
NCT05285358,Nab-paclitaxel,True,4
NCT05285358,Questionnaire Administration,True,4
NCT05322135,BAY 949392,True,2
NCT05322135,Carbon C 11 Glutamine,True,2
NCT05496231,Human papillomavirus vaccine,True,2
NCT05496231,"Human Papillomavirus 9-valent Vaccine, Recombinant",True,2
NCT05779514,Mirabegron,False,1
NCT05111574,Biospecimen Collection,True,8
NCT05111574,cabozantinib s-malate,True,8
NCT05111574,Computed Tomography,True,8
NCT05111574,Echocardiography,True,8
NCT05111574,Magnetic Resonance Imaging,True,8
NCT05111574,Nivolumab,True,8
NCT05111574,Placebo Administration,True,8
NCT05111574,Positron Emission Tomography,True,8
NCT05491512,18F-Fluoromisonidazole,True,6
NCT05491512,Radiation Therapy,True,6
NCT05491512,Cisplatin,True,6
NCT05491512,Carboplatin,True,6
NCT05491512,Fluorouracil,True,6
NCT05491512,Paclitaxel,True,6
NCT06469138,Bemcentinib,False,1
NCT05463601,Mecapegfilgrastim,True,6
NCT05463601,Dalpiciclib,True,6
NCT05463601,Exemestane,True,6
NCT05463601,Fulvestrant,True,6
NCT05463601,Letrozole,True,6
NCT05463601,Tamoxifen,True,6
NCT05406466,Tislelizumab,True,3
NCT05406466,Lenvatinib,True,3
NCT05406466,Cryosurgery,True,3
NCT05465343,Furmonertinib,False,1
NCT05480865,BBP 398,True,2
NCT05480865,Sotorasib,True,2
NCT04978727,SVN53-67-M57-KLH peptide vaccine,True,4
NCT04978727,Sargramostim,True,4
NCT04978727,Incomplete Freund's adjuvant,True,4
NCT04978727,Radiation Therapy,True,4
NCT05186545,Surufatinib,True,3
NCT05186545,Fulvestrant,True,3
NCT05186545,Chidamide,True,3
NCT05381038,Azacitidine,True,4
NCT05381038,Docetaxel,True,4
NCT05381038,Paclitaxel,True,4
NCT05381038,Irinotecan,True,4
NCT05429398,Linperlisib,True,2
NCT05429398,Camrelizumab,True,2
NCT05362409,Aminolevulinic acid,True,2
NCT05362409,CV01-delivered ultrasound,True,2
NCT04655391,bosutinib monohydrate,True,7
NCT04655391,Decitabine,True,7
NCT04655391,enasidenib mesylate,True,7
NCT04655391,gilteritinib fumarate,True,7
NCT04655391,glasdegib maleate,True,7
NCT04655391,Ivosidenib,True,7
NCT04655391,Venetoclax,True,7
NCT05600309,Favezelimab,True,4
NCT05600309,Pembrolizumab,True,4
NCT05600309,Regorafenib,True,4
NCT05600309,Tipiracil/trifluridine,True,4
NCT05085054,osimertinib mesylate,True,2
NCT05085054,Salvage Surgery,True,2
NCT05389293,Mosunetuzumab,True,2
NCT05389293,Zanubrutinib,True,2
NCT05393804,Idecabtagene vicleucel,True,5
NCT05393804,Ciltacabtagene autoleucel,True,5
NCT05393804,Leukapheresis,True,5
NCT05393804,Lymphodepletion Therapy,True,5
NCT05393804,Chimeric Antigen Receptor T-Cell Therapy,True,5
NCT05479812,WTX-124,True,2
NCT05479812,Pembrolizumab,True,2
NCT05055063,Belantamab mafodotin,False,1
NCT05263999,Itolizumab,True,2
NCT05263999,Placebo,True,2
NCT05135715,Disitamab vedotin,False,1
NCT05198934,Sotorasib,True,5
NCT05198934,Panitumumab,True,5
NCT05198934,Trifluridine,True,5
NCT05198934,Tipiracil/trifluridine,True,5
NCT05198934,Regorafenib,True,5
NCT05397184,Chimeric Antigen Receptor T-Cell Therapy,False,1
NCT05327582,Durvalumab,True,3
NCT05327582,Lenvatinib,True,3
NCT05327582,Nab-paclitaxel,True,3
NCT05317325,Vaccine Therapy,True,2
NCT05317325,Tumor antigen-pulsed DC vaccine - Sichuan University,True,2
NCT04826016,Balixafortide,True,3
NCT04826016,Eribulin,True,3
NCT04826016,Nab-paclitaxel,True,3
NCT05315700,ORIC 114,False,1
NCT05024305,TWP-102,False,1
NCT05081193,Testosterone undecanoate,True,2
NCT05081193,Enzalutamide,True,2
NCT05231850,Tislelizumab,False,1
NCT05296772,Denenicokin,True,3
NCT05296772,Exenokine-21,True,3
NCT05296772,Pembrolizumab,True,3
NCT05302921,Cryoablation,True,3
NCT05302921,Nivolumab,True,3
NCT05302921,Ipilimumab,True,3
NCT05636566,Sevoflurane,True,3
NCT05636566,Propofol,True,3
NCT05636566,Dexmedetomidine,True,3
NCT05204628,XZP-3621,True,2
NCT05204628,Crizotinib,True,2
NCT04119830,Pembrolizumab,True,3
NCT04119830,Questionnaire Administration,True,3
NCT04119830,Rintatolimod,True,3
NCT04591028,Indocyanine green,False,1
NCT05239182,Elraglusib,True,4
NCT05239182,Retifanlimab,True,4
NCT05239182,Gemcitabine,True,4
NCT05239182,Nab-paclitaxel,True,4
NCT04965077,MIL 97,False,1
NCT05305859,Venetoclax,True,3
NCT05305859,Chidamide,True,3
NCT05305859,Azacitidine,True,3
NCT05111366,Benmelstobart,True,2
NCT05111366,catequentinib hydrochloride,True,2
NCT04956276,Bis-choline Tetrathiomolybdate,True,2
NCT04956276,Placebo Control,True,2
NCT05796089,Thoracic Radiation Therapy,True,5
NCT05796089,Etoposide,True,5
NCT05796089,Carboplatin,True,5
NCT05796089,Cisplatin,True,5
NCT05796089,Durvalumab,True,5
NCT05183958,Stereotactic Body Radiation Therapy,True,4
NCT05183958,Normofractionated Radiotherapy,True,4
NCT05183958,Camrelizumab,True,4
NCT05183958,Chemotherapy,True,4
NCT05067283,MK-1084,True,8
NCT05067283,Pembrolizumab,True,8
NCT05067283,Carboplatin,True,8
NCT05067283,Pemetrexed,True,8
NCT05067283,Cetuximab,True,8
NCT05067283,Oxaliplatin,True,8
NCT05067283,Folinic acid,True,8
NCT05067283,Fluorouracil,True,8
NCT05078671,Olaparib,True,2
NCT05078671,Cobicistat,True,2
NCT05170334,Binimetinib,True,2
NCT05170334,Belinostat,True,2
NCT04372927,Cisplatin,True,5
NCT04372927,Durvalumab,True,5
NCT04372927,Etoposide,True,5
NCT04372927,Hypofractionated Radiation Therapy,True,5
NCT04372927,Pemetrexed,True,5
NCT05155189,C CAR 031,True,3
NCT05155189,Lenvatinib,True,3
NCT05155189,Anti-PD-L1 Monoclonal Antibody,True,3
NCT04837196,ASP 7517,True,2
NCT04837196,Pembrolizumab,True,2
NCT05114720,Moxifloxacin,True,6
NCT05114720,Docetaxel,True,6
NCT05114720,Nab-paclitaxel,True,6
NCT05114720,Cyclophosphamide,True,6
NCT05114720,Doxorubicin,True,6
NCT05114720,Placebo Control,True,6
NCT05001347,Uliledlimab,False,1
NCT04999540,Tucidinostat,True,2
NCT04999540,Fulvestrant,True,2
NCT05627778,Gallium Ga-68 gozetotide,True,2
NCT05627778,68Ga-P15-041,True,2
NCT04337177,Irinotecan,True,2
NCT04337177,Temozolomide,True,2
NCT04891809,Isatuximab,True,3
NCT04891809,Lenalidomide,True,3
NCT04891809,Dexamethasone,True,3
NCT05061537,PF-07263689,True,2
NCT05061537,Sasanlimab,True,2
NCT05083481,ASP1570,True,2
NCT05083481,Pembrolizumab,True,2
NCT05008224,Pembrolizumab,True,10
NCT05008224,Doxorubicin,True,10
NCT05008224,Vinblastine,True,10
NCT05008224,Dacarbazine,True,10
NCT05008224,Bleomycin,True,10
NCT05008224,Etoposide,True,10
NCT05008224,Cyclophosphamide,True,10
NCT05008224,Vincristine,True,10
NCT05008224,Procarbazine,True,10
NCT05008224,Prednisone,True,10
